"Country or Area";"Year";"Unit";"Value";"Value Footnotes"
"Bulgaria";"1997";"MILLION KWH";"42312";""
"Bulgaria";"1996";"MILLION KWH";"42716";""
"Bulgaria";"1995";"MILLION KWH";"41789";""
"Burkina Faso";"2005";"MILLION KWH";"417";""
"Burkina Faso";"2004";"MILLION KWH";"400";""
"Burkina Faso";"2003";"MILLION KWH";"360";""
"Burkina Faso";"2002";"MILLION KWH";"340";""
"Burkina Faso";"2001";"MILLION KWH";"330";""
"Burkina Faso";"2000";"MILLION KWH";"320";""
"Burkina Faso";"1999";"MILLION KWH";"370";""
"Burkina Faso";"1998";"MILLION KWH";"338";""
"Burkina Faso";"1997";"MILLION KWH";"308";""
"Burkina Faso";"1996";"MILLION KWH";"329";""
"Burkina Faso";"1995";"MILLION KWH";"290";""
"Burundi";"2005";"MILLION KWH";"102";""
"Burundi";"2004";"MILLION KWH";"93";""
"Burundi";"2003";"MILLION KWH";"103";""
"Burundi";"2002";"MILLION KWH";"129";""
"Burundi";"2001";"MILLION KWH";"117";""
"Burundi";"2000";"MILLION KWH";"101";""
"Burundi";"1999";"MILLION KWH";"100";""
"Burundi";"1998";"MILLION KWH";"112";""
"Burundi";"1997";"MILLION KWH";"122";""
"Burundi";"1996";"MILLION KWH";"120";""
"Burundi";"1995";"MILLION KWH";"120";""
"Cambodia";"2005";"MILLION KWH";"764";""
"Cambodia";"2004";"MILLION KWH";"743";""
"Cambodia";"2003";"MILLION KWH";"636";""
"Cambodia";"2002";"MILLION KWH";"574";""
"Cambodia";"2001";"MILLION KWH";"517";""
"Cambodia";"2000";"MILLION KWH";"466";""
"Cambodia";"1999";"MILLION KWH";"420";""
"Cambodia";"1998";"MILLION KWH";"378";""
"Cambodia";"1997";"MILLION KWH";"341";""
"Cambodia";"1996";"MILLION KWH";"307";""
"Cambodia";"1995";"MILLION KWH";"277";""
"Cameroon";"2005";"MILLION KWH";"4145";""
"Cameroon";"2004";"MILLION KWH";"4110";""
"Cameroon";"2003";"MILLION KWH";"3684";""
"Cameroon";"2002";"MILLION KWH";"3300";""
"Cameroon";"2001";"MILLION KWH";"3541";""
"Cameroon";"2000";"MILLION KWH";"3480";""
"Cameroon";"1999";"MILLION KWH";"3376";""
"Cameroon";"1998";"MILLION KWH";"3168";""
"Cameroon";"1997";"MILLION KWH";"3128";""
"Cameroon";"1996";"MILLION KWH";"2963";""
"Cameroon";"1995";"MILLION KWH";"2844";""
"Canada";"2005";"MILLION KWH";"628194";""
"Canada";"2004";"MILLION KWH";"598514";""
"Canada";"2003";"MILLION KWH";"589967";""
"Canada";"2002";"MILLION KWH";"601135";""
"Canada";"2001";"MILLION KWH";"589757";""
"Canada";"2000";"MILLION KWH";"605573";""
"Canada";"1999";"MILLION KWH";"578922";""
"Canada";"1998";"MILLION KWH";"561626";""
"Canada";"1997";"MILLION KWH";"573683";""
"Canada";"1996";"MILLION KWH";"573020";""
"Canada";"1995";"MILLION KWH";"560091";""
"Cape Verde";"2005";"MILLION KWH";"237";""
"Cape Verde";"2004";"MILLION KWH";"219";""
"Cape Verde";"2003";"MILLION KWH";"199";""
"Cape Verde";"2002";"MILLION KWH";"182";""
"Cape Verde";"2001";"MILLION KWH";"165";""
"Cape Verde";"2000";"MILLION KWH";"146";""
"Cape Verde";"1999";"MILLION KWH";"117";""
"Cape Verde";"1998";"MILLION KWH";"101";""
"Cape Verde";"1997";"MILLION KWH";"93";""
"Cape Verde";"1996";"MILLION KWH";"88";""
"Cape Verde";"1995";"MILLION KWH";"83";""
"Cayman Islands";"2005";"MILLION KWH";"454";""
"Cayman Islands";"2004";"MILLION KWH";"433";""
"Cayman Islands";"2003";"MILLION KWH";"490";""
"Cayman Islands";"2002";"MILLION KWH";"466";""
"Cayman Islands";"2001";"MILLION KWH";"449";""
"Cayman Islands";"2000";"MILLION KWH";"426";""
"Cayman Islands";"1999";"MILLION KWH";"390";""
"Cayman Islands";"1998";"MILLION KWH";"381";""
"Cayman Islands";"1997";"MILLION KWH";"348";""
"Cayman Islands";"1996";"MILLION KWH";"310";""
"Cayman Islands";"1995";"MILLION KWH";"297";""
"Central African Rep.";"2005";"MILLION KWH";"110";""
"Central African Rep.";"2004";"MILLION KWH";"110";""
"Central African Rep.";"2003";"MILLION KWH";"110";""
"Central African Rep.";"2002";"MILLION KWH";"108";""
"Central African Rep.";"2001";"MILLION KWH";"108";""
"Central African Rep.";"2000";"MILLION KWH";"107";""
"Central African Rep.";"1999";"MILLION KWH";"107";""
"Central African Rep.";"1998";"MILLION KWH";"104";""
"Central African Rep.";"1997";"MILLION KWH";"104";""
"Central African Rep.";"1996";"MILLION KWH";"104";""
"Central African Rep.";"1995";"MILLION KWH";"102";""
"Chad";"2005";"MILLION KWH";"100";""
"Chad";"2004";"MILLION KWH";"99";""
"Chad";"2003";"MILLION KWH";"99";""
"Chad";"2002";"MILLION KWH";"98";""
"Chad";"2001";"MILLION KWH";"98";""
"Chad";"2000";"MILLION KWH";"92";""
"Chad";"1999";"MILLION KWH";"92";""
"Chad";"1998";"MILLION KWH";"91";""
"Chad";"1997";"MILLION KWH";"90";""
"Chad";"1996";"MILLION KWH";"90";""
"Chad";"1995";"MILLION KWH";"89";""
"Chile";"2005";"MILLION KWH";"54383";""
"Chile";"2004";"MILLION KWH";"51984";""
"Chile";"2003";"MILLION KWH";"48780";""
"Chile";"2002";"MILLION KWH";"45483";""
"Chile";"2001";"MILLION KWH";"43918";""
"Chile";"2000";"MILLION KWH";"41268";""
"Chile";"1999";"MILLION KWH";"38389";""
"Chile";"1998";"MILLION KWH";"35503";""
"Chile";"1997";"MILLION KWH";"33292";""
"Chile";"1996";"MILLION KWH";"30790";""
"Chile";"1995";"MILLION KWH";"29906";""
"China";"2005";"MILLION KWH";"2497441";""
"China";"2004";"MILLION KWH";"2193736";""
"China";"2003";"MILLION KWH";"1907380";""
"China";"2002";"MILLION KWH";"1640481";""
"China";"2001";"MILLION KWH";"1471657";""
"China";"2000";"MILLION KWH";"1355600";""
"China";"1999";"MILLION KWH";"1239300";""
"China";"1998";"MILLION KWH";"1166200";""
"China";"1997";"MILLION KWH";"1134471";""
"China";"1996";"MILLION KWH";"1081310";""
"China";"1995";"MILLION KWH";"1007726";""
"Colombia";"2005";"MILLION KWH";"50664";""
"Colombia";"2004";"MILLION KWH";"50228";""
"Colombia";"2003";"MILLION KWH";"47682";""
"Colombia";"2002";"MILLION KWH";"45242";""
"Colombia";"2001";"MILLION KWH";"43684";""
"Colombia";"2000";"MILLION KWH";"43943";""
"Colombia";"1999";"MILLION KWH";"44139";""
"Colombia";"1998";"MILLION KWH";"45960";""
"Colombia";"1997";"MILLION KWH";"46378";""
"Colombia";"1996";"MILLION KWH";"44866";""
"Colombia";"1995";"MILLION KWH";"45246";""
"Comoros";"2005";"MILLION KWH";"20";""
"Comoros";"2004";"MILLION KWH";"20";""
"Comoros";"2003";"MILLION KWH";"20";""
"Comoros";"2002";"MILLION KWH";"19";""
"Comoros";"2001";"MILLION KWH";"19";""
"Comoros";"2000";"MILLION KWH";"19";""
"Comoros";"1999";"MILLION KWH";"17";""
"Comoros";"1998";"MILLION KWH";"17";""
"Comoros";"1997";"MILLION KWH";"17";""
"Comoros";"1996";"MILLION KWH";"17";""
"Comoros";"1995";"MILLION KWH";"16";""
"Congo";"2005";"MILLION KWH";"356";""
"Congo";"2004";"MILLION KWH";"398";""
"Congo";"2003";"MILLION KWH";"343";""
"Congo";"2002";"MILLION KWH";"397";""
"Congo";"2001";"MILLION KWH";"340";""
"Congo";"2000";"MILLION KWH";"298";""
"Congo";"1999";"MILLION KWH";"97";""
"Congo";"1998";"MILLION KWH";"344";""
"Congo";"1997";"MILLION KWH";"459";""
"Congo";"1996";"MILLION KWH";"357";""
"Congo";"1995";"MILLION KWH";"328";""
"Cook Islands";"2005";"MILLION KWH";"30";""
"Cook Islands";"2004";"MILLION KWH";"30";""
"Cook Islands";"2003";"MILLION KWH";"29";""
"Cook Islands";"2002";"MILLION KWH";"28";""
"Cook Islands";"2001";"MILLION KWH";"26";""
"Cook Islands";"2000";"MILLION KWH";"25";""
"Cook Islands";"1999";"MILLION KWH";"22";""
"Cook Islands";"1998";"MILLION KWH";"20";""
"Cook Islands";"1997";"MILLION KWH";"20";""
"Cook Islands";"1996";"MILLION KWH";"20";""
"Cook Islands";"1995";"MILLION KWH";"16";""
"Costa Rica";"2005";"MILLION KWH";"8252";""
"Costa Rica";"2004";"MILLION KWH";"8210";""
"Costa Rica";"2003";"MILLION KWH";"7566";""
"Costa Rica";"2002";"MILLION KWH";"7485";""
"Costa Rica";"2001";"MILLION KWH";"6941";""
"Costa Rica";"2000";"MILLION KWH";"6910";""
"Costa Rica";"1999";"MILLION KWH";"6177";""
"Costa Rica";"1998";"MILLION KWH";"5387";""
"Costa Rica";"1997";"MILLION KWH";"5589";""
"Costa Rica";"1996";"MILLION KWH";"4894";""
"Costa Rica";"1995";"MILLION KWH";"4863";""
"Côte d'Ivoire";"2005";"MILLION KWH";"5578";""
"Côte d'Ivoire";"2004";"MILLION KWH";"5411";""
"Côte d'Ivoire";"2003";"MILLION KWH";"5093";""
"Côte d'Ivoire";"2002";"MILLION KWH";"5308";""
"Côte d'Ivoire";"2001";"MILLION KWH";"4903";""
"Côte d'Ivoire";"2000";"MILLION KWH";"4813";""
"Côte d'Ivoire";"1999";"MILLION KWH";"4830";""
"Côte d'Ivoire";"1998";"MILLION KWH";"4050";""
"Côte d'Ivoire";"1997";"MILLION KWH";"3983";""
"Côte d'Ivoire";"1996";"MILLION KWH";"3225";""
"Côte d'Ivoire";"1995";"MILLION KWH";"2955";""
"Croatia";"2005";"MILLION KWH";"12462";""
"Croatia";"2004";"MILLION KWH";"13295";""
"Croatia";"2003";"MILLION KWH";"12620";""
"Croatia";"2002";"MILLION KWH";"12240";""
"Croatia";"2001";"MILLION KWH";"12099";""
"Croatia";"2000";"MILLION KWH";"10702";""
"Croatia";"1999";"MILLION KWH";"12241";""
"Croatia";"1998";"MILLION KWH";"10898";""
"Croatia";"1997";"MILLION KWH";"9684";""
"Croatia";"1996";"MILLION KWH";"10548";""
"Croatia";"1995";"MILLION KWH";"8863";""
"Cuba";"2005";"MILLION KWH";"15341";""
"Cuba";"2004";"MILLION KWH";"15652";""
"Cuba";"2003";"MILLION KWH";"15811";""
"Cuba";"2002";"MILLION KWH";"15699";""
"Cuba";"2001";"MILLION KWH";"15300";""
"Cuba";"2000";"MILLION KWH";"15032";""
"Cuba";"1999";"MILLION KWH";"14492";""
"Cuba";"1998";"MILLION KWH";"14149";""
"Cuba";"1997";"MILLION KWH";"14146";""
"Cuba";"1996";"MILLION KWH";"13236";""
