Luxembourg,1998,127.5
Luxembourg,1999,134.3
Luxembourg,2000,150.0
Luxembourg,2001,146.6
Luxembourg,2002,140.6
Luxembourg,2003,137.0
Luxembourg,2004,152.4
Luxembourg,2005,158.6
Luxembourg,2006,175.5
Luxembourg,2007,180.2
Netherlands,1990,56.5
Netherlands,1991,57.2
Netherlands,1992,55.4
Netherlands,1993,54.6
Netherlands,1994,56.8
Netherlands,1995,59.4
Netherlands,1996,59.6
Netherlands,1997,63.3
Netherlands,1998,62.6
Netherlands,1999,63.0
Netherlands,2000,70.1
Netherlands,2001,67.3
Netherlands,2002,64.2
Netherlands,2003,63.0
Netherlands,2004,66.4
Netherlands,2005,69.6
Netherlands,2006,73.0
Netherlands,2007,74.9
Norway,1990,40.1
Norway,1991,39.9
Norway,1992,37.9
Norway,1993,37.9
Norway,1994,38.1
Norway,1995,38.0
Norway,1996,40.8
Norway,1997,41.4
Norway,1998,37.6
Norway,1999,39.4
Norway,2000,46.5
Norway,2001,45.8
Norway,2002,41.1
Norway,2003,40.3
Norway,2004,42.0
Norway,2005,44.6
Norway,2006,46.4
Norway,2007,45.8
Poland,1990,26.2
Poland,1991,21.5
Poland,1992,21.7
Poland,1993,21.0
Poland,1994,21.6
Poland,1995,23.2
Poland,1996,22.3
Poland,1997,23.4
Poland,1998,26.0
Poland,1999,24.2
Poland,2000,27.1
Poland,2001,27.1
Poland,2002,28.6
Poland,2003,33.3
Poland,2004,37.5
Poland,2005,37.1
Poland,2006,40.4
Poland,2007,40.9
Portugal,1990,31.2
Portugal,1991,28.4
Portugal,1992,26.1
Portugal,1993,25.2
Portugal,1994,26.9
Portugal,1995,28.6
Portugal,1996,28.2
Portugal,1997,28.6
Portugal,1998,29.0
Portugal,1999,27.9
Portugal,2000,29.8
Portugal,2001,28.9
Portugal,2002,28.0
Portugal,2003,28.0
Portugal,2004,28.4
Portugal,2005,28.5
Portugal,2006,31.0
Portugal,2007,32.6
Slovakia,1993,56.7
Slovakia,1994,59.8
Slovakia,1995,57.8
Slovakia,1996,53.4
Slovakia,1997,56.4
Slovakia,1998,59.2
Slovakia,1999,61.2
Slovakia,2000,70.5
Slovakia,2001,72.7
Slovakia,2002,71.1
Slovakia,2003,75.9
Slovakia,2004,74.5
Slovakia,2005,76.3
Slovakia,2006,84.4
Slovakia,2007,86.5
Spain,1990,16.1
Spain,1991,16.2
Spain,1992,16.6
Spain,1993,18.2
Spain,1994,20.8
Spain,1995,22.4
Spain,1996,23.6
Spain,1997,26.3
Spain,1998,26.7
Spain,1999,26.7
Spain,2000,29.0
Spain,2001,28.5
Spain,2002,27.3
Spain,2003,26.3
Spain,2004,25.9
Spain,2005,25.7
Spain,2006,26.4
Spain,2007,26.5
Sweden,1990,30.5
Sweden,1991,28.2
Sweden,1992,28.1
Sweden,1993,32.8
Sweden,1994,36.2
Sweden,1995,39.8
Sweden,1996,38.6
Sweden,1997,42.1
Sweden,1998,43.1
Sweden,1999,43.2
Sweden,2000,46.6
Sweden,2001,46.5
Sweden,2002,44.6
Sweden,2003,43.8
Sweden,2004,46.3
Sweden,2005,48.7
Sweden,2006,51.5
Sweden,2007,52.6
Switzerland,1990,36.4
Switzerland,1991,35.4
Switzerland,1992,36.1
Switzerland,1993,36.6
Switzerland,1994,36.2
Switzerland,1995,35.9
Switzerland,1996,36.5
Switzerland,1997,40.2
Switzerland,1998,40.6
Switzerland,1999,42.0
Switzerland,2000,46.5
Switzerland,2001,45.9
Switzerland,2002,44.4
Switzerland,2003,44.0
Switzerland,2004,46.3
Switzerland,2005,48.9
Switzerland,2006,52.4
Switzerland,2007,55.9
Turkey,1998,21.3
Turkey,1999,19.4
Turkey,2000,20.1
Turkey,2001,27.4
Turkey,2002,25.2
Turkey,2003,23.0
Turkey,2004,23.6
Turkey,2005,21.9
Turkey,2006,22.7
Turkey,2007,21.9
United Kingdom,1990,24.0
United Kingdom,1991,23.2
United Kingdom,1992,23.4
United Kingdom,1993,25.3
United Kingdom,1994,26.4
United Kingdom,1995,28.2
United Kingdom,1996,29.3
United Kingdom,1997,28.6
United Kingdom,1998,26.5
United Kingdom,1999,26.1
United Kingdom,2000,27.6
United Kingdom,2001,27.1
United Kingdom,2002,26.1
United Kingdom,2003,25.5
United Kingdom,2004,25.3
United Kingdom,2005,26.4
United Kingdom,2006,28.5
United Kingdom,2007,26.4
United States,1990,9.5
United States,1991,10.0
United States,1992,10.0
United States,1993,9.9
United States,1994,10.2
United States,1995,11.0
United States,1996,11.1
United States,1997,11.5
United States,1998,10.9
United States,1999,10.7
United States,2000,11.2
United States,2001,10.2
United States,2002,9.6
United States,2003,9.5
United States,2004,10.1
United States,2005,10.6
United States,2006,11.2
United States,2007,12.0
United States,2008,13.1
